ID	score	actType	legMode
26458817	153.8328440579512	home		
26459778	1418.0739484661772	home	car	
-	-	work	car	
-	-	home		
26459922	739.5947246435178	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3642222015874	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6797659324861	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7335363829206	home	car	
-	-	work	car	
-	-	home		
26460828	1387.43768535337	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.1139295200378	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1152806496711	home	car	
-	-	work	car	
-	-	home		
26461451	1411.2209891397931	home	car	
-	-	work	car	
-	-	home		
26461539	1414.278607884568	home	car	
-	-	work	car	
-	-	home		
26461540	330.928264180255	home	bike	
-	-	work	bike	
-	-	home		
26464272	1406.3686613426535	home	car	
-	-	work	car	
-	-	home		
26464668	1467.066374588069	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1310.6084063145584	home	walk	
-	-	work	walk	
-	-	home		
26470704	1240.1085657227986	home	car	
-	-	shopping	car	
-	-	home		
26472023	1482.5307887358974	home	car	
-	-	work	car	
-	-	home		
26473092	1212.7193837974658	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26479568	1198.1793274947975	home	car	
-	-	other	car	
-	-	home		
26480216	1205.723584005505	home	car	
-	-	other	car	
-	-	home		
26480982	1198.4065990902761	home	car	
-	-	other	car	
-	-	home		
26480983	1179.3175384156593	home	pt	
-	-	other	pt	
-	-	home		
26483248	1186.6669256408568	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1006944990947	home	car	
-	-	other	car	
-	-	home		
26493228	1203.922350295876	home	car	
-	-	other	car	
-	-	home		
26494764	1237.314455997106	home	car	
-	-	shopping	car	
-	-	home		
26498758	1326.430095558383	home	walk	
-	-	work	walk	
-	-	home		
26499817	1445.2710416715186	home	pt	
-	-	work	pt	
-	-	home		
26503032	1004.0587699712847	work	car	
-	-	other		
26503938	1042.892551837063	work	car	
-	-	other		
26503989	1465.884255716128	home	car	
-	-	work	car	
-	-	home		
26503990	545.6280873166803	home	bike	
-	-	work	bike	
-	-	home		
26507201	1039.3296444568875	work	car	
-	-	other		
26507202	1035.47032550448	work	car	
-	-	other		
26511206	1045.820348594973	home	walk	
-	-	other	walk	
-	-	home		
26512476	1202.0016852932679	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.0333566727202	home	car	
-	-	other	car	
-	-	home		
26520906	1198.1712149902908	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1193.1546022799298	home	car	
-	-	other	car	
-	-	home		
26527238	1199.1750123051745	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26527759	1204.7483470229615	home	bike	
-	-	other	bike	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.83125763177856	other	car	
-	-	other		
26531737	1126.078863703342	home	car	
-	-	other	car	
-	-	home		
26531738	1197.7102556476984	home	car	
-	-	other	car	
-	-	home		
26531740	1197.16008261393	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	332.4307540117643	home		
26541000	1402.4340268682713	home	car	
-	-	work	car	
-	-	home		
26541001	1446.907234078497	home	car	
-	-	work	car	
-	-	home		
26542042	1234.359815950246	home	car	
-	-	shopping	car	
-	-	home		
26545334	830.1502422500837	work	car	
-	-	other		
26548056	1042.045371648851	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.07380469821	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6699369568457	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1479.86246681177	home	car	
-	-	work	car	
-	-	home		
26583747	1235.249094855585	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7657982238384	home	car	
-	-	work	car	
-	-	home		
26584744	1041.852441020578	work	car	
-	-	other		
26586779	1462.7275312722918	home	car	
-	-	work	car	
-	-	home		
26587965	796.9132091245547	home	pt	
-	-	work	pt	
-	-	home		
26588136	1232.0314729702795	home	car	
-	-	shopping	car	
-	-	home		
26588137	1239.2315583825582	home	car	
-	-	shopping	car	
-	-	home		
26588138	1237.602667634416	home	car	
-	-	shopping	car	
-	-	home		
26588186	1428.9244063895396	home	car	
-	-	work	car	
-	-	home		
26589077	1238.5163527924697	home	car	
-	-	shopping	car	
-	-	home		
26589973	1420.207015826246	home	car	
-	-	work	car	
-	-	home		
26591423	1200.4187503291387	home	pt	
-	-	shopping	pt	
-	-	home		
26591425	1119.7402187554396	home	walk	
-	-	shopping	walk	
-	-	home		
26599122	1197.7964620150078	home	car	
-	-	other	car	
-	-	home		
26599769	1204.358672305459	home	car	
-	-	other	car	
-	-	home		
26612053	1369.6771044457307	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.32720089185258	other	car	
-	-	other		
26617363	1421.5313348280445	home	car	
-	-	work	car	
-	-	home		
26617364	1444.8753246358951	home	car	
-	-	work	car	
-	-	home		
26617365	1444.7505363684336	home	car	
-	-	work	car	
-	-	home		
26617773	1206.1333197723663	home	car	
-	-	other	car	
-	-	home		
26625082	1491.7904797475262	home	car	
-	-	work	car	
-	-	home		
26627499	959.1794907579136	work	car	
-	-	other		
26627629	971.1094713439072	work	car	
-	-	other		
26627776	1470.1123690058914	home	car	
-	-	work	car	
-	-	home		
26628231	1442.048790184239	home	car	
-	-	work	car	
-	-	home		
26628408	1477.5561966420864	home	car	
