ID	score	actType	legMode
26458817	126.88676732577596	home		
26459778	1418.232547124214	home	car	
-	-	work	car	
-	-	home		
26459922	739.5782605939223	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3553288357084	home	car	
-	-	work	car	
-	-	home		
26460700	1475.678917708094	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7333286564692	home	car	
-	-	work	car	
-	-	home		
26460828	1493.8772825738777	home	car	
-	-	work	car	
-	-	home		
26460829	1110.863055189857	home	walk	
-	-	work	walk	
-	-	home		
26460830	1480.1161343069525	home	car	
-	-	work	car	
-	-	home		
26461451	1411.0578183286464	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2797480053987	home	car	
-	-	work	car	
-	-	home		
26461540	1390.2122764482624	home	car	
-	-	work	car	
-	-	home		
26464272	1406.2989532630138	home	car	
-	-	work	car	
-	-	home		
26464668	1305.7382013242363	home	bike	
-	-	work	bike	
-	-	home		
26464669	704.3670551203186	home	car	
-	-	work	car	
-	-	home		
26467061	1310.535122084432	home	walk	
-	-	work	walk	
-	-	home		
26470704	1240.3241904528945	home	car	
-	-	shopping	car	
-	-	home		
26472023	1485.7049504544977	home	car	
-	-	work	car	
-	-	home		
26473092	1237.7093998991318	home	car	
-	-	shopping	car	
-	-	home		
26479568	1199.4798924108823	home	car	
-	-	other	car	
-	-	home		
26480216	1205.723716282783	home	car	
-	-	other	car	
-	-	home		
26480982	1198.413256267685	home	car	
-	-	other	car	
-	-	home		
26480983	1179.4734367543065	home	pt	
-	-	other	pt	
-	-	home		
26483248	1186.6784182352596	home	car	
-	-	other	car	
-	-	home		
26491808	1197.5503143503524	home	car	
-	-	other	car	
-	-	home		
26493228	1203.9291147981223	home	car	
-	-	other	car	
-	-	home		
26494764	1221.1067350496799	home	pt	
-	-	shopping	pt	
-	-	home		
26498758	1483.7094450957593	home	car	
-	-	work	car	
-	-	home		
26499817	1211.0530219979082	home	walk	
-	-	work	walk	
-	-	home		
26503032	1017.8365483235084	work	car	
-	-	other		
26503938	1042.7408800808423	work	car	
-	-	other		
26503989	1463.352696470384	home	car	
-	-	work	car	
-	-	home		
26503990	1425.153178758383	home	car	
-	-	work	car	
-	-	home		
26507201	1038.7267478292626	work	car	
-	-	other		
26507202	1038.0163855275352	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1202.0024786149513	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.0247644252734	home	car	
-	-	other	car	
-	-	home		
26520906	1198.1704721265023	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1202.165501192205	home	car	
-	-	other	car	
-	-	home		
26527238	1176.7027450837988	home	walk	
-	-	other	walk	
-	-	home		
26527759	1200.5963462393192	home	walk	
-	-	other	walk	
-	-	home		
26530816	168.8944576114996	other	car	
-	-	other		
26530818	167.84784731129955	other	car	
-	-	other		
26531737	1126.078863703342	home	car	
-	-	other	car	
-	-	home		
26531738	1174.076961145765	home	pt	
-	-	other	pt	
-	-	home		
26531740	1199.5084006761822	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1402.4205719497759	home	car	
-	-	work	car	
-	-	home		
26541001	1446.890908655967	home	car	
-	-	work	car	
-	-	home		
26542042	1233.9099216587942	home	car	
-	-	shopping	car	
-	-	home		
26545334	873.1684400276838	work	car	
-	-	other		
26548056	1041.625230599684	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.0734377587617	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6654733348278	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.7089897807189	home	car	
-	-	work	car	
-	-	home		
26583747	1235.2734176245003	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7623240419452	home	car	
-	-	work	car	
-	-	home		
26584744	1041.7979208055908	work	car	
-	-	other		
26586779	1462.6799216376457	home	car	
-	-	work	car	
-	-	home		
26587965	1412.315083999702	home	car	
-	-	work	car	
-	-	home		
26588136	1232.0317473512773	home	car	
-	-	shopping	car	
-	-	home		
26588137	1238.1200136846826	home	car	
-	-	shopping	car	
-	-	home		
26588138	1237.7607767952793	home	car	
-	-	shopping	car	
-	-	home		
