ID	score	actType	legMode
26458817	124.86199702496538	home		
26459778	1418.031253925211	home	car	
-	-	work	car	
-	-	home		
26459922	739.6029565523969	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.36519440834	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6793876190502	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7195785891215	home	car	
-	-	work	car	
-	-	home		
26460828	1494.2336448497472	home	car	
-	-	work	car	
-	-	home		
26460829	1110.6844602898736	home	walk	
-	-	work	walk	
-	-	home		
26460830	1480.1157628448886	home	car	
-	-	work	car	
-	-	home		
26461451	1411.2210027701597	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2775009548645	home	car	
-	-	work	car	
-	-	home		
26461540	1371.5839878619277	home	car	
-	-	work	car	
-	-	home		
26464272	232.63641775517556	home	bike	
-	-	work	bike	
-	-	home		
26464668	231.29652860742146	home	walk	
-	-	work		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1489.8514456874918	home	car	
-	-	work	car	
-	-	home		
26470704	1240.3246254801702	home	car	
-	-	shopping	car	
-	-	home		
26472023	1485.6950705732463	home	car	
-	-	work	car	
-	-	home		
26473092	1237.7083943316038	home	car	
-	-	shopping	car	
-	-	home		
26479568	1180.8677230867825	home	pt	
-	-	other	pt	
-	-	home		
26480216	1205.722518726598	home	car	
-	-	other	car	
-	-	home		
26480982	1198.4156490835455	home	car	
-	-	other	car	
-	-	home		
26480983	1179.4760032349577	home	pt	
-	-	other	pt	
-	-	home		
26483248	1186.6766785206607	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1011086925375	home	car	
-	-	other	car	
-	-	home		
26493228	1203.90967939282	home	car	
-	-	other	car	
-	-	home		
26494764	1237.2904422126542	home	car	
-	-	shopping	car	
-	-	home		
26498758	1326.548114067979	home	walk	
-	-	work	walk	
-	-	home		
26499817	1482.9337356774784	home	car	
-	-	work	car	
-	-	home		
26503032	1004.598119865458	work	car	
-	-	other		
26503938	1042.8925372953345	work	car	
-	-	other		
26503989	1466.000963441789	home	car	
-	-	work	car	
-	-	home		
26503990	1425.9803083408028	home	car	
-	-	work	car	
-	-	home		
26507201	1038.562499758779	work	car	
-	-	other		
26507202	1023.5147847067152	work	car	
-	-	other		
26511206	1045.820348594973	home	walk	
-	-	other	walk	
-	-	home		
26512476	1201.992362202677	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.020990720302	home	car	
-	-	other	car	
-	-	home		
26520906	1198.1681153405957	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1192.4862520286038	home	car	
-	-	other	car	
-	-	home		
26527238	1178.694323009633	home	car	
-	-	other	car	
-	-	home		
26527759	1206.0592937737217	home	car	
-	-	other	car	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
