ID	score	actType	legMode
26458817	155.15210475480035	home		
26459778	1418.2360290691777	home	car	
-	-	work	car	
-	-	home		
26459922	739.5947246435178	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.367492296948	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6783480682484	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7327370876746	home	car	
-	-	work	car	
-	-	home		
26460828	1387.6137443050534	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.115984422111	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1130567649398	home	car	
-	-	work	car	
-	-	home		
26461451	1411.2208267715564	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2925502006347	home	car	
-	-	work	car	
-	-	home		
26461540	408.9789140572033	home	bike	
-	-	work	bike	
-	-	home		
26464272	-546.6906552315618	home		
26464668	1467.0666724619293	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1489.858662794918	home	car	
-	-	work	car	
-	-	home		
26470704	1240.325329375799	home	car	
-	-	shopping	car	
-	-	home		
26472023	1455.9376156604446	home	car	
-	-	work	car	
-	-	home		
26473092	1223.4200470676737	home	pt	
-	-	shopping	pt	
-	-	home		
26479568	1176.6197300969104	home	car	
-	-	other	car	
-	-	home		
26480216	1205.7236797749626	home	car	
-	-	other	car	
-	-	home		
26480982	1177.2062717420802	home	pt	
-	-	other	pt	
-	-	home		
26480983	1198.5155812503406	home	car	
-	-	other	car	
-	-	home		
26483248	1186.6926866049473	home	car	
-	-	other	car	
-	-	home		
26491808	1198.090362665397	home	car	
-	-	other	car	
-	-	home		
26493228	1182.088753386355	home	walk	
-	-	other	walk	
-	-	home		
26494764	1237.3115514680421	home	car	
-	-	shopping	car	
-	-	home		
26498758	1326.468391704607	home	walk	
-	-	work	walk	
-	-	home		
26499817	1482.9331221916439	home	car	
-	-	work	car	
-	-	home		
26503032	997.9776963463901	work	car	
-	-	other		
26503938	1042.4366264660916	work	car	
-	-	other		
26503989	1465.6731785684312	home	car	
-	-	work	car	
-	-	home		
26503990	545.7267027861366	home	bike	
-	-	work	bike	
-	-	home		
26507201	1039.39689000534	work	car	
-	-	other		
26507202	1022.4319125039643	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1202.002457384354	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.032430767155	home	car	
-	-	other	car	
-	-	home		
26520906	1194.4030728749335	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1153.5743777975308	home	walk	
-	-	other	walk	
-	-	home		
26527238	1197.160943340909	home	bike	
-	-	other	bike	
-	-	home		
26527759	1200.981075581968	home	walk	
-	-	other	walk	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84369991993591	other	car	
-	-	other		
26531737	1104.10325460998	home	pt	
-	-	other	pt	
-	-	home		
26531738	1174.5486254588463	home	pt	
-	-	other	pt	
-	-	home		
26531740	1198.2599594554674	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1401.3548655090663	home	car	
-	-	work	car	
-	-	home		
26541001	1446.906885691741	home	car	
-	-	work	car	
-	-	home		
26542042	1234.374353690407	home	car	
-	-	shopping	car	
-	-	home		
26545334	864.9771113225307	work	car	
-	-	other		
26548056	1041.8273892431018	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08629037101326	other	car	
-	-	other		
26572880	1204.0745575676267	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6728770696207	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.6950756735603	home	car	
-	-	work	car	
-	-	home		
26583747	1235.283985678295	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7647547742954	home	car	
-	-	work	car	
-	-	home		
26584744	1038.0213826490856	work	car	
-	-	other		
26586779	1462.30510193657	home	car	
-	-	work	car	
-	-	home		
26587965	1413.5743478418474	home	car	
-	-	work	car	
-	-	home		
26588136	1232.0302425604932	home	car	
-	-	shopping	car	
-	-	home		
26588137	1238.681946878958	home	car	
-	-	shopping	car	
-	-	home		
26588138	1237.7615022030789	home	car	
-	-	shopping	car	
-	-	home		
26588186	868.4873012572923	home	pt	
-	-	work	pt	
-	-	home		
26589077	1238.5026839929612	home	car	
-	-	shopping	car	
-	-	home		
26589973	1419.3714476019939	home	car	
-	-	work	car	
-	-	home		
26591423	1229.842445051726	home	car	
-	-	shopping	car	
-	-	home		
26591425	1234.8523369159698	home	car	
-	-	shopping	car	
-	-	home		
26599122	1197.7351985318255	home	car	
-	-	other	car	
-	-	home		
26599769	1203.7179251960026	home	car	
-	-	other	car	
-	-	home		
26612053	1334.7460706287115	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.33135065686895	other	car	
-	-	other		
26617363	1421.5253672188092	home	car	
-	-	work	car	
-	-	home		
26617364	1444.8757643513534	home	car	
