ID	score	actType	legMode
26458817	138.38608523937012	home		
26459778	1418.2263576887296	home	car	
-	-	work	car	
-	-	home		
26459922	739.5782605939223	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.362652820745	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6797467685637	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7327370876746	home	car	
-	-	work	car	
-	-	home		
26460828	1386.7078440814744	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.1102259033876	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1161831554846	home	car	
-	-	work	car	
-	-	home		
26461451	1411.193170102973	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2918398499405	home	car	
-	-	work	car	
-	-	home		
26461540	58.05693556004246	home	bike	
-	-	work	bike	
-	-	home		
26464272	-517.8866298123619	home		
26464668	1467.0667866661756	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1489.84030205718	home	car	
-	-	work	car	
-	-	home		
26470704	1240.3252922973759	home	car	
-	-	shopping	car	
-	-	home		
26472023	1493.808244514434	home	car	
-	-	work	car	
-	-	home		
26473092	1223.4378770891603	home	pt	
-	-	shopping	pt	
-	-	home		
26479568	1199.6851351904184	home	car	
-	-	other	car	
-	-	home		
26480216	1205.7231603657065	home	car	
-	-	other	car	
-	-	home		
26480982	1177.1004406597742	home	pt	
-	-	other	pt	
-	-	home		
26480983	1198.5046551751907	home	car	
-	-	other	car	
-	-	home		
26483248	1186.693603464995	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1023986965733	home	car	
-	-	other	car	
-	-	home		
26493228	1203.9219172444837	home	car	
-	-	other	car	
-	-	home		
26494764	1159.6141029438522	home	walk	
-	-	shopping	walk	
-	-	home		
26498758	1483.7079367219296	home	car	
-	-	work	car	
-	-	home		
26499817	1211.655380342189	home	walk	
-	-	work	walk	
-	-	home		
26503032	1012.1685803401731	work	car	
-	-	other		
26503938	1042.366382610856	work	car	
-	-	other		
26503989	1465.8970478936112	home	car	
-	-	work	car	
-	-	home		
26503990	1425.8011329703024	home	car	
-	-	work	car	
-	-	home		
26507201	1039.42015636478	work	car	
-	-	other		
26507202	1029.2327972758071	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1202.0023586873249	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.028454000193	home	car	
-	-	other	car	
-	-	home		
26520906	1198.1696724550936	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1203.1076226775021	home	car	
-	-	other	car	
-	-	home		
26527238	1203.292274439779	home	car	
-	-	other	car	
-	-	home		
26527759	1201.0424877324126	home	walk	
-	-	other	walk	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84784731129955	other	car	
-	-	other		
26531737	1092.2043795577458	home	bike	
-	-	other	bike	
-	-	home		
26531738	1197.70729945279	home	car	
-	-	other	car	
-	-	home		
26531740	1198.0279092379542	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1401.9153147287604	home	car	
-	-	work	car	
-	-	home		
26541001	1446.0343851298535	home	car	
-	-	work	car	
-	-	home		
26542042	1234.3832728131276	home	car	
-	-	shopping	car	
-	-	home		
26545334	845.4291998022899	work	car	
-	-	other		
26548056	1037.3513004843167	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.0745721977046	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6728809754968	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.7067589521437	home	car	
-	-	work	car	
-	-	home		
26583747	1133.211935001852	home	walk	
-	-	shopping	walk	
-	-	home		
26584261	1485.7695622712367	home	car	
-	-	work	car	
-	-	home		
26584744	1040.3590138369298	work	car	
-	-	other		
26586779	1462.6960250659288	home	car	
-	-	work	car	
-	-	home		
26587965	1413.4613825727608	home	car	
-	-	work	car	
-	-	home		
26588136	1232.0263264846317	home	car	
-	-	shopping	car	
-	-	home		
26588137	1226.7854943927305	home	bike	
-	-	shopping	bike	
-	-	home		
26588138	1224.9969362363279	home	pt	
-	-	shopping	pt	
-	-	home		
26588186	1429.3458496130763	home	car	
-	-	work	car	
-	-	home		
26589077	1196.9571650733628	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26589973	1420.3798813568903	home	car	
-	-	work	car	
-	-	home		
26591423	1229.8604350174362	home	car	
-	-	shopping	car	
-	-	home		
26591425	1232.8766064253834	home	car	
-	-	shopping	car	
-	-	home		
26599122	1197.8080567474346	home	car	
-	-	other	car	
-	-	home		
26599769	1181.1253094883507	home	pt	
-	-	other	pt	
-	-	home		
26612053	1355.1301140390817	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.33135065686895	other	car	
-	-	other		
26617363	1421.4184287742526	home	car	
-	-	work	car	
-	-	home		
26617364	-911.0423584580101	home	walk	
-	-	work		
26617365	1444.8362716940032	home	car	
-	-	work	car	
-	-	home		
26617773	1206.1333638572235	home	car	
-	-	other	car	
-	-	home		
26625082	1491.7922069503877	home	car	
-	-	work	car	
-	-	home		
26627499	1005.922822850987	work	car	
-	-	other		
26627629	967.9188369405035	work	car	
-	-	other		
26627776	1464.2661700485082	home	car	
-	-	work	car	
-	-	home		
26628231	1475.8737561799383	home	car	
-	-	work	car	
-	-	home		
