ID	VOT
26458817	11.62
26459778	31.76
26459922	14.04
26460076	11.33
26460330	13.35
26460700	10.95
26460701	12.72
26460828	8.7
26460829	8.49
26460830	8.49
26461451	1.17
26461539	12.2
26461540	12.2
26464272	28.1
26464668	8.24
26464669	16.81
26467061	10.97
26470704	8.7
26472023	14.39
26473092	3.46
26479568	18.91
26480216	4.04
26480982	16.93
26480983	13.04
26483248	54.98
26491808	3.46
26493228	11.22
26494764	6.66
26498758	6.6
26499817	14.81
26503032	13.8
26503938	17.07
26503989	0.0
26503990	15.87
26507201	2.45
26507202	2.45
26511206	9.2
26512476	3.77
26513520	7.21
26516651	9.87
26520906	18.1
26523292	6.43
26526926	1.92
26527238	12.52
26527759	14.39
26530816	4.49
26530818	7.33
26531737	11.52
26531738	14.18
26531740	11.52
26536628	4.1
26541000	9.48
26541001	4.89
26542042	13.27
26545334	4.79
26548056	13.98
26560848	11.47
26560852	11.47
26560859	11.47
26564796	6.15
26565187	3.08
26572880	15.87
26572881	15.87
26573557	14.4
26578027	14.46
26583747	8.58
26584261	8.82
26584744	11.34
26586779	10.22
26587965	16.77
26588136	2.91
26588137	2.91
26588138	24.98
26588186	7.66
26589077	12.62
26589973	11.51
26591423	8.77
26591425	2.8
26599122	7.16
26599769	20.71
26612053	2.46
26613226	5.61
26613231	8.87
26617363	2.55
26617364	12.38
26617365	12.38
26617773	2.8
26625082	10.97
26627499	10.99
26627629	13.74
26627776	22.16
26628231	14.0
26628408	4.13
26628452	0.65
26628524	16.73
26628525	5.41
26628526	6.2
26628527	16.73
26628528	6.2
26628529	5.41
26628530	5.41
26629090	14.14
26629297	5.56
26629407	3.69
26629429	14.96
26629777	5.1
26629847	12.58
26629976	10.58
26630077	19.38
26630169	10.86
26630204	17.28
26630805	14.92
26630887	1.95
26630924	9.24
26631534	9.55
26631546	16.22
26631636	11.38
26631687	14.36
26655170	2.89
26656004	11.54
26656018	16.2
26657300	16.77
26657329	10.71
26657395	2.46
26658133	15.48
26658417	3.63
26658984	13.33
26658985	9.97
26659222	18.76
26659511	5.72
26661122	8.49
26661123	6.8
26661130	4.75
26661131	13.41
26661286	6.38
26662342	9.14
26662638	9.93
26662765	17.7
26663755	13.09
26664038	15.46
26664039	11.06
26664406	6.86
26664997	8.13
26665024	4.37
26665193	51.91
26665223	14.13
26665224	14.13
26665307	1.17
26665837	23.2
26666717	4.38
26666739	7.64
26666989	10.64
26667176	8.7
26667177	8.65
26667294	12.08
26667562	27.01
26667655	18.71
26668374	8.77
26668456	13.17
26669083	13.45
26669160	4.43
26669521	10.56
26669522	17.06
26669848	4.54
26669895	4.69
26669896	4.79
26670465	6.07
26670467	6.14
26670719	3.09
26670842	22.96
26671168	29.71
26671440	4.38
26671780	10.88
26671821	9.49
26671916	14.0
26672203	5.41
26672350	1.51
26672495	3.23
26672554	17.53
26672977	35.97
26673158	7.01
26673202	20.11
26673213	19.71
26673214	12.72
26673215	12.72
26674389	2.82
26674484	22.77
26675024	4.9
26675025	21.5
26675332	11.43
26675333	6.2
26675424	0.34
26675735	3.18
26676193	19.82
26676195	12.9
26676266	7.45
26676268	7.45
26676473	25.02
26676967	23.39
26678175	15.04
26678832	15.1
26680814	20.15
26683236	6.55
26684278	35.55
26684405	8.32
26684745	2.3
26684747	2.3
26684943	9.35
26685129	10.74
26685860	3.84
26686619	9.16
26688048	50.05
26689002	0.18
26689243	4.82
26689918	9.64
26690086	11.72
26690439	12.15
26690462	11.03
26691130	12.2
26691153	18.3
26691261	4.29
26691514	11.48
26691684	4.13
26691992	6.2
26692095	11.5
26692345	3.2
26692782	13.52
26692895	0.9
26692928	11.75
26693123	14.11
26693570	6.07
26693662	35.97
26693692	8.91
26693914	7.3
26694193	14.96
26694219	20.09
26694256	12.78
26694595	1.56
26695129	12.33
26695136	4.57
26695150	52.33
26695508	7.08
26695509	7.08
26695510	11.26
26696062	11.35
26696063	11.67
26696085	8.74
26696183	11.0
26696718	6.93
26696719	3.77
26696720	3.77
26696722	3.77
26697349	17.28
26697351	25.84
26697353	25.84
26697580	5.13
26698061	14.92
26698062	14.92
26698102	7.3
26698107	8.24
26698617	8.58
26698911	11.17
26699107	5.98
26699334	12.57
26699335	12.57
26699336	8.44
26699595	10.77
26700150	3.42
26700430	5.81
26700553	10.58
26700799	16.52
26700800	16.52
26700967	3.77
26701063	8.15
26701615	3.78
26701770	12.25
26701834	14.92
26702240	8.58
26702671	11.38
26702924	8.43
26703218	6.52
26703657	13.46
26703693	2.19
26703805	18.03
26703855	6.05
26703870	28.47
26703968	20.23
26703984	13.45
26704034	8.55
26704035	8.55
26704072	14.4
26704155	4.48
26704178	9.34
26704268	9.06
26704336	11.95
26704410	11.06
26704469	8.39
26704842	6.19
26704843	15.48
26704870	7.51
26704899	10.23
26704956	8.08
26704989	3.63
26704990	3.63
26705233	13.33
26705234	18.41
26705829	1.91
26705884	14.07
26705957	17.22
26705966	26.48
26705977	7.4
26706092	13.41
26706147	13.78
26706163	6.38
26706181	8.42
26706640	10.46
26706705	25.03
26706790	13.36
26706791	13.36
26706912	6.26
26707008	13.9
26707078	4.81
26707097	20.78
26707179	5.78
26707180	7.39
26707181	9.23
26707356	11.51
26707668	2.99
26707717	18.6
26707718	18.6
26707785	6.43
26707830	16.34
